Entrantes,Espera,Desbordes,Transferencias,Contestadas,Contestadas20seg,Contestadas15seg,Abandonadas,TiempoConversacion,TiempoEspera
35621,12870,12449,7659,34351,29755,29401,1270,11209868,1278013
39033,14236,14161,8254,36469,27994,27547,2564,12140625,1504626
35590,13168,13156,7728,34250,28595,28183,1340,11543879,1349064
30323,10901,11380,6391,29531,25798,25511,792,9773332,1024839
21995,8187,7290,4985,20908,17683,17463,1087,6948780,776607
17566,6386,5295,3802,15337,10945,10761,2229,5090292,722836
39265,14182,14154,8318,36917,28203,27706,2348,12467020,1375223
36393,13479,13606,7990,34998,29139,28757,1395,11731144,1337068
32581,11912,13293,6789,31775,27562,27225,806,10975112,1260925
33309,12447,12995,7254,32509,28219,27862,800,10961686,1329173
31369,11421,11711,6709,30553,26178,25870,816,10269799,1205413
20475,7400,7182,4442,19296,16832,16685,1179,6558978,865985
16119,6069,4848,3634,15096,12715,12583,1023,4971805,644630
36576,13508,13342,7887,35690,31197,30849,886,11901621,1385827
35786,13127,12912,7626,34770,29982,29579,1016,11892707,1416842
34632,12606,13153,7260,33782,29863,29543,850,11573457,1396932
33760,12170,12089,7182,32999,29308,28953,761,10851664,1323260
30920,11537,11605,7035,30035,26123,25805,885,10206080,1171529
20091,7469,7120,4460,19164,16325,16164,927,6577292,816305
15006,5619,4402,3543,14162,11476,11341,844,4832910,559489
22709,8782,7241,5213,22002,19951,19798,707,7460256,990086
34418,12389,12291,7491,33488,28323,27924,930,11681944,1171986
33891,11789,12260,7370,32941,27275,26915,950,11648917,1029087
32373,11129,11405,6981,31515,27397,27035,858,11011669,938062
30485,10612,11566,6364,29564,25154,24844,921,10434866,895013
19919,6678,6999,4334,18909,16219,16030,1010,6499210,518501
15506,5782,5047,3770,14822,12564,12447,684,5075533,467084
34573,11747,12759,7438,33490,27487,27079,1083,11765414,950659
34342,11798,12404,7110,33360,28031,27627,982,11510943,1061064
35255,11937,11794,7323,33916,27712,27204,1339,11778924,1117999
36052,11845,11965,7092,33676,25847,25311,2376,11745974,1133301
36039,11783,10478,6971,32994,26344,25909,3045,11433676,1192384
22770,7514,7099,4693,20737,16314,16045,2033,7267039,759648
